war,"война"
to be at war,"воевать"
civil war,"гражданская война"
treacherously,"вероломно"
declaration of war,"объявление войны"
to declare,"объявить (войну)"
aggression,"агрессия"
to attack,"нападать"
to invade,"захватывать"
invader,"захватчик"
conqueror,"завоеватель"
defense,"оборона, защита"
to defend,"обороняться, защищать"
to defend oneself,"обороняться"
enemy,"враг, вражеский"
adversary,"противник"
strategy,"стратегия"
tactics,"тактика"
order,"приказ"
command,"команда (приказ)"
to order,"приказывать"
mission,"задание (воен.)"
secret,"секретный"
battle,"сражение"
combat,"бой"
attack,"атака"
storming,"штурм"
to storm,"штурмовать"
siege,"осада"
offensive,"наступление"
to go on the offensive,"наступать"
retreat,"отступление"
to retreat,"отступать"
encirclement,"окружение"
to encircle,"окружать"
bombing,"бомбёжка"
to drop a bomb,"сбросить бомбу"
to bomb,"бомбить"
explosion,"взрыв"
shot,"выстрел"
