to fire a shot,"выстрелить"
shooting,"стрельба"
to take aim at,"целиться в"
to point,"навести (орудие)"
to hit,"попасть (в цель)"
to sink,"потопить (корабль и т.п.)"
hole,"пробоина"
to founder,"идти ко дну"
front,"фронт"
rear,"тыл"
evacuation,"эвакуация"
to evacuate,"эвакуировать"
trench,"окоп, траншея"
barbed wire,"колючая проволока"
barrier,"заграждение"
watchtower,"вышка (строение)"
hospital,"госпиталь"
to wound,"ранить"
wound,"рана"
wounded,"раненый (сущ.)"
to be injured,"получить ранение"
serious,"тяжёлый (о ранении)"
captivity,"плен"
to take (somebody) captive,"взять в плен"
to be in captivity,"быть в плену"
to be taken prisoner,"попасть в плен"
concentration camp,"концлагерь"
prisoner of war,"пленный"
to escape,"бежать (из плена)"
to execute,"расстрелять (казнить)"
execution,"расстрел (казнь)"
equipment,"обмундирование"
shoulder board,"погон"
gas mask,"противогаз"
radio transmitter,"рация"
cipher,"шифр"
conspiracy,"конспирация"
password,"пароль"
land mine,"мина"
to mine,"заминировать"
minefield,"минное поле"
air-raid warning,"воздушная тревога"
alarm,"тревога (сигнал)"
