signal,"сигнал"
signal flare,"сигнальная ракета"
headquarters,"штаб"
reconnaissance,"разведка"
situation,"обстановка"
report,"рапорт"
ambush,"засада"
reinforcement,"подкрепление"
target,"мишень"
training area,"полигон"
military exercise,"манёвры"
panic,"паника"
devastation,"разруха"
destruction,"разрушения"
to destroy,"разрушать"
to survive,"выжить"
to disarm,"обезоружить"
to handle,"обращаться (с оружием)"
Attention!,"Смирно!"
At ease!,"Вольно!"
feat,"подвиг"
oath,"клятва"
to swear,"клясться"
decoration,"награда (медаль и т.п.)"
to award,"награждать"
medal,"медаль"
order,"орден"
victory,"победа"
defeat,"поражение"
armistice,"перемирие"
banner,"знамя"
glory,"слава (почёт)"
parade,"парад"
to march,"маршировать"
