hotel,"гостиница"
motel,"мотель"
three-star,"3 звезды"
five-star,"5 звёзд"
to stay,"остановиться (в отеле)"
room,"номер (в гостинице)"
single room,"одноместный номер"
double room,"двухместный номер"
to book a room,"забронировать номер"
half board,"полупансион"
full board,"полный пансион"
with bath,"с ванной"
with shower,"с душем"
satellite television,"спутниковое телевидение"
air-conditioner,"кондиционер"
towel,"полотенце"
key,"ключ"
administrator,"администратор"
chambermaid,"горничная"
bellboy,"носильщик"
doorman,"портье"
restaurant,"ресторан"
pub,"бар"
breakfast,"завтрак"
dinner,"ужин"
buffet,"шведский стол"
lift,"лифт"
DO NOT DISTURB,"НЕ БЕСПОКОИТЬ"
NO SMOKING,"НЕ КУРИТЬ"
