import,"импорт, импортный"
importer,"импортёр"
to import,"импортировать"
export,"экспорт, экспортный"
exporter,"экспортёр"
to export,"экспортировать"
goods,"товар"
consignment,"партия груза"
weight,"вес"
volume,"объём"
cubic meter,"кубический метр"
manufacturer,"производитель"
transport company,"транспортная компания"
container,"контеёнер"
border,"граница"
customs,"таможня"
customs duty,"таможенная пошлина"
customs officer,"таможенник"
smuggling,"контрабанда (действия)"
contraband,"контрабанда (товары)"
