insect,"насекомое"
butterfly,"бабочка"
ant,"муравей"
fly,"муха"
mosquito,"комар"
beetle,"жук"
wasp,"оса"
bee,"пчела"
bumblebee,"шмель"
gadfly,"овод"
spider,"паук"
web,"паутина"
dragonfly,"стрекоза"
grasshopper,"кузнечик"
moth,"мотылёк"
cockroach,"таракан"
tick,"клещ"
flea,"блоха"
midge,"мошка"
locust,"саранча"
snail,"улитка"
cricket,"сверчок"
firefly,"светлячок"
ladybird,"божья коровка"
cockchafer,"майский жук"
leech,"пиявка"
caterpillar,"гусеница"
earthworm,"червь"
larva,"личинка"
