Internet,"интернет"
browser,"браузер"
search engine,"поисковый ресурс"
provider,"провайдер"
web master,"веб-мастер"
website,"веб-сайт"
web page,"веб-страница"
address,"адрес"
address book,"адресная книга"
postbox,"почтовый ящик"
post,"почта (сообщения)"
full,"переполненный (ящик)"
message,"сообщение"
incoming messages,"входящие сообщения"
outgoing messages,"исходящие сообщения"
sender,"отправитель"
to send,"отправить"
sending,"отправка (письма)"
receiver,"получатель"
to receive,"получить"
correspondence,"переписка"
to correspond,"переписываться"
file,"файл"
to download,"скачать (скопировать)"
to create,"создать"
to delete,"удалить"
deleted,"удалённый (о файле)"
connection,"связь"
speed,"скорость"
modem,"модем"
access,"доступ"
port,"порт (комп.)"
connection,"подключение"
to connect to,"подключиться к"
to select,"выбрать"
to search for,"искать"
