kitchen,"кухня (помещение)"
gas,"газ"
gas cooker,"плита газовая"
electric cooker,"плита электрическая"
oven,"духовка"
microwave oven,"микроволновая печь"
refrigerator,"холодильник"
freezer,"морозильник"
dishwasher,"посудомоечная машина"
mincer,"мясорубка"
juicer,"соковыжималка"
toaster,"тостер"
mixer,"миксер"
coffee maker,"кофеварка"
coffee pot,"кофейник"
coffee grinder,"кофемолка"
kettle,"чайник (для кипятка)"
teapot,"чайник (для заварки)"
lid,"крышка (чайника и т.п.)"
tea strainer,"ситечко (для чая)"
spoon,"ложка"
teaspoon,"чайная ложка"
tablespoon,"столовая ложка"
fork,"вилка"
knife,"нож"
tableware,"посуда"
plate,"тарелка"
saucer,"блюдце"
shot glass,"рюмка, стопка"
glass,"стакан"
cup,"чашка"
sugar bowl,"сахарница"
salt shaker,"солонка"
pepper shaker,"перечница"
butter dish,"маслёнка"
stew pot,"кастрюля"
frying pan,"сковородка"
ladle,"половник"
colander,"дуршлаг"
tray,"поднос"
bottle,"бутылка"
jar,"банка (стеклянная)"
tin,"банка (жестяная)"
bottle opener,"открывалка для бутылок"
tin opener,"открывалка для консервов"
corkscrew,"штопор"
filter,"фильтр"
to filter,"фильтровать"
rubbish,"мусор (отходы)"
rubbish bin,"мусорное ведро"
