justice,"правосудие"
court,"суд"
judge,"судья"
jurors,"присяжные"
jury trial,"суд присяжных"
to judge,"судить"
lawyer,"адвокат"
accused,"подсудимый"
dock,"скамья подсудимых"
charge,"обвинение"
accused,"обвиняемый"
sentence,"приговор"
to sentence,"приговорить"
to punish,"наказать"
punishment,"наказание"
fine,"штраф"
life imprisonment,"пожизненное заключение"
death penalty,"смертная казнь"
electric chair,"электрический стул"
gallows,"виселица"
to execute,"казнить"
execution,"казнь"
prison,"тюрьма"
cell,"тюремная камера"
escort,"конвой"
prison officer,"надзиратель"
prisoner,"заключённый"
handcuffs,"наручники"
to handcuff,"надеть наручники"
prison break,"побег из тюрьмы"
to break out,"убежать (из тюрьмы)"
to disappear,"исчезнуть"
to release,"освободить (из тюрьмы)"
amnesty,"амнистия"
police,"полиция"
policeman,"полицейский"
police station,"полицейский участок"
truncheon,"резиновая дубинка"
loudspeaker,"рупор"
patrol car,"патрульная машина"
siren,"сирена"
to turn on the siren,"включить сирену"
siren call,"вой сирены"
scene of the crime,"место преступления"
witness,"свидетель"
freedom,"свобода"
accomplice,"сообщник"
trace,"след"
