grammar,"грамматика"
vocabulary,"лексика"
phonetics,"фонетика"
noun,"существительное"
adjective,"прилагательное"
verb,"глагол"
adverb,"наречие"
pronoun,"местоимение"
interjection,"междометие"
preposition,"предлог"
root,"корень слова"
ending,"окончание"
prefix,"приставка"
syllable,"слог (часть слова)"
suffix,"суффикс"
stress mark,"ударение"
apostrophe,"апостроф"
full stop,"точка"
comma,"запятая"
semicolon,"точка с запятой"
colon,"двоеточие"
ellipsis,"многоточие"
question mark,"вопросительный знак"
exclamation mark,"восклицательный знак"
inverted commas,"кавычки"
in inverted commas,"в кавычках"
