parentheses,"скобки"
in parentheses,"в скобках"
hyphen,"дефис"
dash,"тире"
space,"пробел (между словами)"
letter,"буква"
capital letter,"заглавная буква"
vowel,"гласный звук"
consonant,"согласный звук"
sentence,"предложение (лингв.)"
subject,"подлежащее (лингв.)"
predicate,"сказуемое (лингв.)"
line,"строка"
on a new line,"с новой строки"
paragraph,"абзац"
word,"слово"
word group,"словосочетание"
expression,"выражение"
synonym,"синоним"
antonym,"антоним"
rule,"правило"
exception,"исключение"
correct,"верный (правильный)"
conjugation,"спряжение"
nominal case,"падеж"
question,"вопрос"
to underline,"подчеркнуть"
dotted line,"курсив"
