square,"площадь"
avenue,"проспект"
street,"улица"
lane,"переулок"
dead end,"тупик"
house,"дом"
building,"здание"
skyscraper,"небоскрёб"
facade,"фасад"
roof,"крыша"
window,"окно"
arch,"арка"
column,"колонна"
corner,"угол (дома)"
shop window,"витрина"
shop sign,"вывеска"
poster,"афиша"
advertising poster,"рекламный плакат"
hoarding,"рекламный щит"
rubbish,"мусор"
rubbish bin,"урна (для мусора)"
to litter,"сорить"
rubbish dump,"свалка"
phone box,"телефонная будка"
street light,"фонарный столб"
bench,"скамейка"
policeman,"полицейский"
police,"полиция"
beggar,"нищий (бродяга)"
homeless,"бездомный (сущ.)"
