literature,"литература"
author,"автор"
pseudonym,"псевдоним"
book,"книга"
volume,"том (издания)"
table of contents,"оглавление"
page,"страница"
main character,"главный герой"
autograph,"автограф"
short story,"рассказ"
story,"повесть"
novel,"роман"
work,"сочинение (литер.)"
fable,"басня"
detective novel,"детектив"
verse,"стихотворение"
poetry,"поэзия"
poem,"поэма"
poet,"поэт"
fiction,"беллетристика"
science fiction,"научная фантастика"
adventures,"приключения"
educational literature,"учебная литература"
children's literature,"детская литература"
