weight,"вес"
length,"длина"
width,"ширина"
height,"высота"
depth,"глубина"
volume,"объем"
area,"площадь (геом.)"
gram,"грамм"
milligram,"миллиграмм"
kilogram,"килограмм"
ton,"тонна"
pound,"фунт (мера веса)"
ounce,"унция"
meter,"метр"
millimeter,"миллиметр"
centimeter,"сантиметр"
kilometer,"километр"
mile,"миля"
inch,"дюйм"
foot,"фут"
yard,"ярд"
square meter,"квадратный метр"
hectare,"гектар"
liter,"литр"
degree,"градус"
volt,"вольт"
ampere,"ампер"
horsepower,"лошадиная сила"
quantity,"количество"
a little bit of,"немного"
half,"половина"
dozen,"дюжина"
piece,"штука"
size,"размер (предмета)"
scale,"масштаб"
minimum,"минимальный"
the smallest,"наименьший"
medium,"средний"
maximum,"максимальный"
the largest,"наибольший"
