people,"народ"
peoples,"народы"
tribe,"племя"
barbarians,"варвары"
Gauls,"галлы"
Goths,"готы"
Slavs,"славяне"
Vikings,"викинги"
Romans,"римляне"
Roman,"римский"
Byzantines,"византийцы"
Byzantium,"Византия"
Byzantine,"византийский"
emperor,"император"
leader,"вождь"
powerful,"могущественный"
king,"король"
ruler,"правитель"
knight,"рыцарь"
knightly,"рыцарский"
feudal lord,"феодал"
feudal,"феодальный"
vassal,"вассал"
duke,"герцог"
earl,"граф"
baron,"барон"
bishop,"епископ"
armor,"доспехи"
shield,"щит"
