sword,"меч"
visor,"забрало"
chain armor,"кольчуга"
crusade,"крестовый поход"
crusader,"крестоносец"
territory,"территория"
to attack,"нападать"
to conquer,"завоевать"
to occupy,"захватить"
siege,"осада"
besieged,"осаждённый"
to besiege,"осаждать"
inquisition,"инквизиция"
inquisitor,"инквизитор"
torture,"пытка"
cruel,"жестокий"
heretic,"еретик"
heresy,"ересь"
seafaring,"мореплавание"
pirate,"пират"
piracy,"пиратство"
boarding,"абордаж"
loot,"добыча"
treasures,"сокровища"
discovery,"открытие (новых земель)"
to discover,"открыть"
expedition,"экспедиция"
musketeer,"мушкетёр"
cardinal,"кардинал"
heraldry,"геральдика"
