mountain,"гора"
mountain range,"горная цепь"
mountain ridge,"горный хребет"
summit,"вершина"
peak,"пик"
foot,"подножие горы"
slope,"склон"
volcano,"вулкан"
active volcano,"действующий вулкан"
dormant volcano,"потухший вулкан"
eruption,"извержение"
crater,"кратер"
magma,"магма"
lava,"лава"
molten,"раскалённый"
canyon,"каньон"
gorge,"ущелье"
crevice,"расщелина"
precipice,"обрыв"
pass,"перевал"
plateau,"плато"
cliff,"скала"
hill,"холм"
glacier,"ледник"
waterfall,"водопад"
geyser,"гейзер"
lake,"озеро"
plain,"равнина"
landscape,"пейзаж"
echo,"эхо"
alpinist,"альпинист"
rock climber,"скалолаз"
conquer,"покорять"
climb,"восхождение"
Alps,"Альпы"
Mont Blanc,"Монблан"
Pyrenees,"Пиренеи"
Carpathians,"Карпаты"
Ural Mountains,"Уральские горы"
Caucasus,"Кавказ"
Elbrus,"Эльбрус"
Altai,"Алтай"
Tien Shan,"Тянь-Шань"
Pamir Mountains,"Памир"
Himalayas,"Гималаи"
Everest,"Эверест"
Andes,"Анды"
Kilimanjaro,"Килиманджаро"
