music,"музыка"
musician,"музыкант"
musical instrument,"музыкальный инструмент"
to play,"играть на"
guitar,"гитара"
violin,"скрипка"
cello,"виолончель"
double bass,"контрабас"
harp,"арфа"
piano,"пианино"
grand piano,"рояль"
organ,"орган (муз. инструмент)"
wind instruments,"духовые инструменты"
oboe,"гобой"
saxophone,"саксофон"
clarinet,"кларнет"
flute,"флейта"
trumpet,"труба (муз. инструмент)"
accordion,"аккордеон"
drum,"барабан"
duo,"дуэт"
trio,"трио"
quartet,"квартет"
choir,"хор"
orchestra,"оркестр"
pop music,"поп-музыка"
rock music,"рок-музыка"
rock group,"рок-группа"
jazz,"джаз"
idol,"кумир"
admirer,"поклонник"
concert,"концерт"
symphony,"симфония"
composition,"композиция"
to compose,"сочинить (стихи, песню)"
singing,"пение"
song,"песня"
tune,"мелодия"
rhythm,"ритм"
blues,"блюз"
sheet music,"ноты"
baton,"палочка (дирижёрская)"
bow,"смычок"
string,"струна"
case,"футляр"
