sea,"море"
ocean,"океан"
gulf,"залив"
straits,"пролив"
dry land,"земля, суша"
continent,"материк"
island,"остров"
peninsula,"полуостров"
archipelago,"архипелаг"
bay,"бухта"
harbor,"гавань"
lagoon,"лагуна"
cape,"мыс"
atoll,"атолл"
reef,"риф"
coral,"коралл"
coral reef,"коралловый риф"
deep,"глубокий"
depth,"глубина"
abyss,"бездна"
trench,"впадина"
current,"течение"
to surround,"омывать"
shore,"побережье"
coast,"берег моря"
high tide,"прилив"
low tide,"отлив"
sandbank,"отмель"
bottom,"дно"
wave,"волна"
crest,"гребень волны"
froth,"пена"
storm,"буря, шторм"
hurricane,"ураган"
tsunami,"цунами"
calm,"штиль"
quiet,"спокойный"
pole,"полюс"
polar,"полярный"
latitude,"широта"
longitude,"долгота"
parallel,"параллель"
equator,"экватор"
sky,"небо"
horizon,"горизонт"
air,"воздух"
lighthouse,"маяк"
to dive,"нырять"
to sink,"затонуть (о корабле)"
treasures,"сокровища"
