Atlantic Ocean,"Атлантический океан"
Indian Ocean,"Индийский океан"
Pacific Ocean,"Тихий океан"
Arctic Ocean,"Северный Ледовитый океан"
Black Sea,"Чёрное море"
Red Sea,"Красное море"
Yellow Sea,"Жёлтое море"
White Sea,"Белое море"
Caspian Sea,"Каспийское море"
Dead Sea,"Мёртвое море"
Mediterranean Sea,"Средиземное море"
Aegean Sea,"Эгейской море"
Adriatic Sea,"Адриатическое море"
Arabian Sea,"Аравийское море"
Sea of Japan,"Японское море"
Bering Sea,"Берингово море"
South China Sea,"Южно-Китайское море"
Coral Sea,"Коралловое море"
Tasman Sea,"Тасманово море"
Caribbean Sea,"Карибское море"
Barents Sea,"Баренцево море"
Kara Sea,"Карское море"
North Sea,"Северное море"
Baltic Sea,"Балтийское море"
Norwegian Sea,"Норвежское море"
