office,"офис, кабинет на работе"
secretary,"секретарь"
director,"директор"
manager,"менеджер"
accountant,"бухгалтер"
employee,"сотрудник"
furniture,"мебель"
desk,"стол"
desk chair,"кресло"
chest of drawers,"тумбочка"
coat stand,"вешалка (стойка)"
computer,"компьютер"
printer,"принтер"
fax machine,"факс"
photocopier,"копировальный аппарат"
paper,"бумага"
office supplies,"канцтовары"
mouse mat,"коврик для мыши"
sheet of paper,"лист бумаги"
catalogue,"каталог"
directory,"справочник"
documentation,"документация"
brochure,"брошюра"
leaflet,"листовка"
sample,"образец"
training meeting,"тренинг"
meeting,"совещание"
lunch time,"перерыв на обед"
to make a copy,"делать копию"
to receive a fax,"получать факс"
to send a fax,"отправлять факс"
to ring,"позвонить"
to answer,"ответить"
to put through,"соединить (по телефону)"
to arrange,"назначать (встречу)"
to demonstrate,"демонстрировать"
to be absent,"отсутствовать"
absence,"пропуск (отсутствие)"
