end,"конец"
beginning,"начало"
left,"левый"
right,"правый"
first,"первый"
last,"последний"
crime,"преступление"
punishment,"наказание"
to order,"приказать"
to obey,"подчиниться"
straight,"прямой"
curved,"кривой"
heaven,"рай"
hell,"ад"
to be born,"родиться"
to die,"умереть"
strong,"сильный"
weak,"слабый"
old,"старый"
young,"молодой"
new,"новый"
hard,"твердый"
soft,"мягкий"
warm,"теплый"
cold,"холодный"
fat,"толстый"
slim,"худой"
narrow,"узкий"
wide,"широкий"
good,"хороший"
bad,"плохой"
brave,"храбрый"
cowardly,"трусливый"
