Hello!,"Здравствуйте!"
Good morning!,"Доброе утро!"
Good afternoon!,"Добрый день!"
Good evening!,"Добрый вечер!"
to say hello,"здороваться"
Hi!,"Привет!"
greeting,"привет, приветствие"
to greet,"приветствовать"
How are you?,"Как дела?"
What’s new?,"Что нового?"
Bye-Bye! Goodbye!,"До свидания!"
See you soon!,"До скорой встречи!"
to say goodbye,"прощаться"
Cheers!,"Пока"
Thank you! Cheers!,"Спасибо!"
Thank you very much!,"Большое спасибо!"
My pleasure!,"Пожалуйста (ответ)"
Don’t mention it!,"Не стоит благодарности"
Excuse me!,"Извините!"
to excuse,"извинять"
to apologize,"извиняться"
My apologies,"Мои извинения"
I’m sorry!,"Простите!"
I’m okay!,"Ничего страшного (ответ)"
please,"пожалуйста (при просьбе)"
Don’t forget!,"Не забудьте!"
Certainly!,"Конечно!"
Of course not!,"Конечно нет!"
Okay!,"Согласен!"
That’s enough!,"Хватит!"
