aircraft,"самолёт"
air ticket,"авиабилет"
airline,"авиакомпания"
airport,"аэропорт"
supersonic,"сверхзвуковой"
captain,"командир корабля"
crew,"экипаж"
pilot,"пилот"
stewardess,"стюардесса"
navigator,"штурман"
wings,"крылья"
tail,"хвост"
cockpit,"кабина"
engine,"двигатель"
undercarriage,"шасси"
turbine,"турбина"
propeller,"пропеллер"
black box,"чёрный ящик"
control column,"штурвал"
fuel,"горючее"
safety card,"инструкция по безопасности"
oxygen mask,"кислородная маска"
uniform,"униформа"
lifejacket,"спасательный жилет"
parachute,"парашют"
takeoff,"взлёт"
to take off,"взлетать"
runway,"взлётная полоса"
visibility,"видимость"
flight,"полёт"
altitude,"высота"
air pocket,"воздушная яма"
seat,"место"
headphones,"наушники"
folding tray,"откидной столик"
window,"иллюминатор"
aisle,"проход между креслами"
