post office,"почта (учреждение)"
post,"почта (письма и т.п.)"
postman,"почтальон"
opening hours,"часы работы"
letter,"письмо"
registered letter,"заказное письмо"
postcard,"открытка"
telegram,"телеграмма"
parcel,"посылка"
money transfer,"денежный перевод"
to receive,"получить"
to send,"отправить"
sending,"отправка (письма)"
address,"адрес"
index,"индекс"
sender,"отправитель"
receiver,"получатель"
name,"имя"
surname,"фамилия"
rate,"тариф"
standard,"обычный"
economical,"экономичный"
weight,"вес"
to weigh up,"взвешивать"
envelope,"конверт"
postage stamp,"почтовая марка"
to stamp an envelope,"наклеивать марку"
