meat,"мясо"
chicken,"курица"
young chicken,"цыплёнок"
duck,"утка"
goose,"гусь"
game,"дичь"
turkey,"индейка"
pork,"свинина"
veal,"телятина"
lamb,"баранина"
beef,"говядина"
rabbit,"кролик"
sausage,"колбаса, сосиска"
bacon,"бекон"
ham,"ветчина"
gammon,"окорок"
pate,"паштет"
liver,"печень"
lard,"сало"
mince,"фарш"
tongue,"язык"
egg,"яйцо"
egg white,"белок"
egg yolk,"желток"
fish,"рыба"
seafood,"морепродукты"
crustaceans,"ракообразные"
caviar,"икра"
crab,"краб"
shrimp,"креветка"
oyster,"устрица"
spiny lobster,"лангуст"
octopus,"осьминог"
squid,"кальмар"
sturgeon,"осетрина"
