salmon,"лосось"
halibut,"палтус"
cod,"треска"
mackerel,"скумбрия"
tuna,"тунец"
eel,"угорь"
trout,"форель"
sardine,"сардина"
pike,"щука"
herring,"сельдь"
bread,"хлеб"
cheese,"сыр"
sugar,"сахар"
salt,"соль"
rice,"рис"
pasta,"макароны"
noodles,"лапша"
butter,"сливочное масло"
vegetable oil,"масло растительное"
sunflower oil,"подсолнечное масло"
margarine,"маргарин"
olives,"оливки"
olive oil,"масло оливковое"
milk,"молоко"
condensed milk,"сгущённое молоко"
yogurt,"йогурт"
sour cream,"сметана"
cream,"сливки"
mayonnaise,"майонез"
groats,"крупа"
flour,"мука"
tinned food,"консервы"
cornflakes,"кукурузные хлопья"
honey,"мёд"
jam,"джем, конфитюр"
chewing gum,"жевательная резинка"
