babysitter,"няня"
teacher,"учитель"
editor,"редактор"
editor-in-chief,"главный редактор"
correspondent,"корреспондент"
typist,"машинистка"
designer,"дизайнер"
computer expert,"компьютерный эксперт"
programmer,"программист"
engineer,"инженер"
sailor,"моряк"
seaman,"матрос"
rescuer,"спасатель"
firefighter,"пожарный"
policeman,"полицейский"
watchman,"сторож"
detective,"сыщик"
customs officer,"таможенник"
bodyguard,"телохранитель"
prison officer,"охранник (в тюрьме)"
inspector,"инспектор"
sportsman,"спортсмен"
coach,"тренер"
butcher,"мясник"
cobbler,"сапожник"
merchant,"коммерсант"
loader,"грузчик"
fashion designer,"модельер"
model,"модель"
