shout,"крик"
to shout,"кричать"
to start to cry out,"закричать"
quarrel,"ссора (перебранка)"
to quarrel,"ссориться"
fight,"скандал (ссора)"
to have a fight,"скандалить)"
conflict,"конфликт"
misunderstanding,"недоразумение"
insult,"оскорбление"
to insult,"оскорблять"
insulted,"оскорбленный"
offense,"обида"
to offend,"обидеть"
to take offense,"обидеться"
indignation,"возмущение"
to be indignant,"возмущаться"
complaint,"жалоба"
to complain,"жаловаться"
apology,"извинение"
to apologize,"извиняться"
to beg pardon,"просить прощения"
criticism,"критика"
to criticize,"критиковать"
accusation,"обвинение"
to accuse,"обвинять"
revenge,"месть"
to avenge,"мстить"
disdain,"презрение"
to despise,"презирать"
hate,"ненависть"
to hate,"ненавидеть"
