nervous,"нервный"
to be nervous,"нервничать"
angry,"сердитый"
to make angry,"рассердить"
humiliation,"унижение"
to humiliate,"унижать"
to humiliate oneself,"унижаться"
shock,"шок"
to shock,"шокировать"
trouble,"неприятность"
unpleasant,"неприятный"
fear,"страх"
terrible,"страшный (мороз и т.п.)"
scary,"страшный (рассказ)"
horror,"ужас"
awful,"ужасный"
to begin to tremble,"задрожать"
to cry,"плакать"
to start crying tear,"заплакать"
fault,"вина (ошибка, проступок)"
guilt,"вина (чувство вины)"
shame,"позор"
protest,"протест"
stress,"стресс"
to disturb,"беспокоить (мешать)"
to be furious,"злиться"
angry,"злой (сердитый)"
to end,"прекращать (отношения)"
to be scared,"пугаться"
to hit,"ударить"
to fight,"драться"
to settle,"урегулировать (конфликт)"
discontented,"недовольный"
furious,"яростный (взгляд)"
It’s not good!,"Это нехорошо!"
It's bad!,"Это плохо!"
