natural resources,"природные ресурсы"
minerals,"полезные ископаемые"
deposits,"залежи"
field,"месторождение"
to mine,"добывать (руду)"
mining,"добыча"
ore,"руда"
mine,"рудник"
mine shaft,"шахта (скважина)"
miner,"шахтёр"
gas,"газ"
gas pipeline,"газопровод"
oil,"нефть"
oil pipeline,"нефтепровод"
oil rig,"нефтяная скважина"
derrick,"нефтяная вышка"
tanker,"танкер"
sand,"песок"
limestone,"известняк"
gravel,"гравий"
peat,"торф"
clay,"глина"
coal,"уголь"
iron,"железо"
gold,"золото"
silver,"серебро"
nickel,"никель"
copper,"медь"
zinc,"цинк"
manganese,"марганец"
mercury,"ртуть"
lead,"свинец"
mineral,"минерал"
crystal,"кристалл"
marble,"мрамор"
uranium,"уран"
