Highway Code,"правила дорожного движения"
traffic sign,"знак"
overtaking,"обгон"
curve,"поворот"
U-turn,"разворот"
roundabout,"круговое движение"
No entry,"въезд запрещён"
All vehicles prohibited,"движение запрещено"
No overtaking,"обгон запрещён"
No parking,"стоянка запрещена"
No stopping,"остановка запрещена"
dangerous curve,"крутой поворот"
steep descent,"крутой спуск"
one-way traffic,"одностороннее движение"
zebra crossing,"пешеходный переход"
slippery road,"скользкая дорога"
GIVE WAY,"уступи дорогу"
