king,"король"
queen,"королева"
royal,"королевский"
kingdom,"королевство"
prince,"принц"
princess,"принцесса"
president,"президент"
vice-president,"вице-президент"
senator,"сенатор"
monarch,"монарх"
ruler,"правитель"
dictator,"диктатор"
tyrant,"тиран"
magnate,"магнат"
director,"директор"
chief,"шеф"
manager,"управляющий"
boss,"босс"
owner,"хозяин (владелец)"
leader,"вождь, лидер"
head,"глава (делегации)"
authorities,"власти"
superiors,"начальство"
governor,"губернатор"
consul,"консул"
diplomat,"дипломат"
mayor,"мэр"
sheriff,"шериф"
emperor,"император"
tsar,"царь"
Pharaoh,"фараон"
khan,"хан"
