Azerbaijan,"Азербайджан"
Azerbaijani,"азербайджанец, азербайджанка, азербайджанский"
Armenia,"Армения"
Armenian,"армянин, армянка, армянский"
Belarus,"Беларусь"
Belarusian,"белорус, белоруска, белорусский"
Georgia,"Грузия"
Georgian,"грузин, грузинка, грузинский"
Kazakhstan,"Казахстан"
Kazakh,"казах, казашка, казахский"
Kirghizia,"Кыргызстан"
Kirghiz,"киргиз, киргизка, киргизский"
Moldavia,"Молдова"
Moldavian,"молдаванин, молдаванка, молдавский"
Russia,"Россия"
Russian,"русский (сущ.), русская (сущ.), русский"
Tajikistan,"Таджикистан"
Tajik,"таджик, таджичка, таджикский"
Turkmenistan,"Туркменистан"
Turkmen,"туркмен, туркменка, туркменский"
Uzbekistan,"Узбекистан"
Uzbek,"узбек, узбечка, узбекский"
Ukraine,"Украина"
Ukrainian,"украинец, украинка, украинский"
