car inside,"салон автомобиля"
leather,"кожаный"
velour,"велюровый"
upholstery,"обивка"
instrument,"прибор"
dashboard,"приборный щиток"
speedometer,"спидометр"
needle,"стрелка прибора"
kilometers counter,"счётчик километров"
indicator,"датчик"
level,"уровень (напр. масла)"
warning light,"лампочка (индикатор)"
steering wheel,"руль, рулевое колесо"
horn,"сигнал (клаксон)"
button,"кнопка"
switch,"переключатель"
seat,"сиденье"
seat back,"спинка сиденья"
headrest,"подголовник"
seat belt,"ремень безопасности"
to fasten the belt,"пристегнуть ремень"
adjustment,"регулировка"
airbag,"воздушная подушка"
air-conditioner,"кондиционер"
radio,"радио"
aerial,"антенна"
ashtray,"пепельница"
