school,"школа"
headmaster,"директор школы"
pupil,"ученик, ученица"
schoolboy,"школьник"
schoolgirl,"школьница"
to teach,"учить (об учителе)"
to learn,"учить (что-либо)"
to learn by heart,"учить наизусть"
to go to school,"идти в школу"
alphabet,"алфавит"
subject,"предмет (дисциплина)"
classroom,"класс (помещение)"
lesson,"урок"
break,"перемена"
school bell,"школьный звонок"
desk,"парта"
blackboard,"доска (школьная)"
mark,"оценка"
good mark,"хорошая оценка"
bad mark,"плохая оценка"
to give a mark,"ставить оценку"
mistake,"ошибка"
to make mistakes,"делать ошибки"
to correct,"исправлять (ошибку)"
crib,"шпаргалка"
homework,"домашняя работа"
