exercise,"упражнение"
to be present,"присутствовать"
to be absent,"отсутствовать"
to miss school,"пропустить школу"
to punish,"наказывать"
punishment,"наказание"
conduct,"поведение"
school report,"дневник"
pencil,"карандаш"
rubber,"ластик"
chalk,"мел"
pencil case,"пенал"
schoolbag,"портфель"
pen,"ручка"
copybook,"тетрадь"
textbook,"учебник"
compasses,"циркуль"
to draw,"чертить"
technical drawing,"чертёж"
verse,"стихотворение"
by heart,"наизусть"
to learn by heart,"учить наизусть"
school holidays,"школьные каникулы"
to be on holiday,"быть на каникулах"
to spend holidays,"провести каникулы"
test,"контрольная работа"
essay,"сочинение"
dictation,"диктант"
exam,"экзамен"
to take an exam,"сдавать экзамен"
experiment,"опыт, эксперимент"
