January,"январь"
February,"февраль"
March,"март"
April,"апрель"
May,"май"
June,"июнь"
July,"июль"
August,"август"
September,"сентябрь"
October,"октябрь"
November,"ноябрь"
December,"декабрь"
spring,"весна, весенний"
in spring,"весной"
summer,"лето, летний"
in summer,"летом"
autumn,"осень, осенний"
in autumn,"осенью"
winter,"зима, зимний"
in winter,"зимой"
month,"месяц"
this month,"в этом месяце"
next month,"в следующем месяце"
last month,"в прошлом месяце"
a month ago,"месяц назад"
in a month,"через месяц"
in two months,"через 2 месяца"
a whole month,"весь месяц"
all month long,"целый месяц"
monthly,"ежемесячный, ежемесячно"
every month,"каждый месяц"
twice a month,"2 раза в месяц"
year,"год"
this year,"в этом году"
next year,"в следующем году"
last year,"в прошлом году"
a year ago,"год назад"
in a year,"через год"
in two years,"через 2 года"
a whole year,"весь год"
all year long,"целый год"
every year,"каждый год"
annual,"ежегодный"
annually,"ежегодно"
4 times a year,"4 раза в год"
date,"дата, число (день месяца)"
calendar,"календарь"
half a year,"полгода"
six months,"полугодие"
season,"сезон"
