cook,"повар"
chef,"шеф-повар"
barman,"бармен"
waiter,"официант"
waitress,"официантка"
lawyer,"адвокат"
notary,"нотариус"
electrician,"электрик"
plumber,"сантехник"
carpenter,"плотник"
masseur,"массажист"
masseuse,"массажистка"
doctor,"врач"
taxi driver,"таксист"
driver,"шофёр"
delivery man,"курьер"
chambermaid,"горничная"
security guard,"охранник"
stewardess,"стюардесса"
teacher,"учитель"
librarian,"библиотекарь"
translator,"переводчик"
interpreter,"переводчик (устный)"
guide,"гид (экскурсовод)"
hairdresser,"парикмахер"
postman,"почтальон"
shop assistant,"продавец"
gardener,"садовник"
servant,"слуга"
maid,"служанка"
cleaner,"уборщица"
