ship,"корабль"
vessel,"судно"
steamship,"пароход"
riverboat,"теплоход"
ocean liner,"лайнер"
cruiser,"крейсер"
yacht,"яхта"
tugboat,"буксир"
barge,"баржа"
ferry,"паром"
sailing ship,"парусник"
brigantine,"бригантина"
icebreaker,"ледокол"
submarine,"подводная лодка"
boat,"лодка"
dinghy,"шлюпка"
lifeboat,"спасательная шлюпка"
motorboat,"катер"
captain,"капитан"
seaman,"матрос"
sailor,"моряк"
crew,"экипаж"
boatswain,"боцман"
ship's boy,"юнга"
cook,"кок"
ship's doctor,"судовой врач"
deck,"палуба"
mast,"мачта"
sail,"парус"
hold,"трюм"
bow,"нос корабля"
stern,"корма"
oar,"весло"
