propeller,"винт"
cabin,"каюта"
wardroom,"кают-компания"
engine room,"машинное отделение"
the bridge,"капитанский мостик"
radio room,"радиорубка"
radio wave,"радиоволна"
logbook,"судовой журнал"
spyglass,"подзорная труба"
bell,"колокол"
flag,"флаг"
rope,"канат"
knot,"узел (завязать)"
handrail,"поручень"
gangway,"трап"
anchor,"якорь"
to weigh anchor,"поднять якорь"
to drop anchor,"бросить якорь"
anchor chain,"якорная цепь"
port,"порт"
wharf,"причал"
to berth,"причаливать"
to cast off,"отчаливать"
trip,"путешествие"
cruise,"круиз"
course,"курс"
route,"маршрут"
fairway,"фарватер"
shallows,"мель"
to run aground,"сесть на мель"
storm,"буря"
signal,"сигнал"
to sink,"тонуть (о корабле)"
Man overboard!,"Человек за бортом!"
ring buoy,"спасательный круг"
