to buy,"покупать"
purchase,"покупка (предмет)"
to go shopping,"делать покупки"
shopping,"шоппинг"
to be open,"работать (о магазине)"
to be closed,"быть закрытым"
footwear,"обувь"
clothes,"одежда"
cosmetics,"косметика"
food products,"продукты"
gift,"подарок"
shop assistant,"продавец"
cash desk,"касса (в магазине)"
mirror,"зеркало"
counter,"прилавок"
fitting room,"примерочная"
to try on,"примерять"
to fit,"подходить (быть впору)"
to fancy,"нравиться"
price,"цена"
price tag,"ценник (на одежде)"
to cost,"стоить"
How much?,"Сколько? (о цене)"
discount,"скидка"
inexpensive,"недорогой"
cheap,"дешёвый"
expensive,"дорогой"
It's expensive,"Это дорого"
hire,"прокат"
to hire,"взять напрокат"
credit,"кредит"
on credit,"в кредит"
