shop sign,"вывеска"
notice,"надпись"
poster,"плакат"
direction sign,указатель""
arrow,"стрелка (указатель)"
warning sign,"предупреждение"
to warn,"предупредить"
closing day,"выходной день"
timetable,"расписание"
opening hours,"часы работы"
WELCOME!,"ДОБРО ПОЖАЛОВАТЬ!"
ENTRANCE,"ВХОД"
WAY OUT,"ВЫХОД"
PUSH,"ОТ СЕБЯ"
PULL,"НА СЕБЯ"
OPEN,"ОТКАРЫТО"
CLOSED,"ЗАКРЫТО"
WOMEN,"ДЛЯ ЖЕНЩИН"
MEN,"ДЛЯ МУЖЧИН"
DISCOUNTS,"СКИДКИ"
SALE,"РАСПРОДАЖА"
NEW!,"НОВИНКА!"
FREE,"БЕСПЛАТНО"
ATTENTION!,"ВНИМАНИЕ!"
NO VACANCIES,"МЕСТ НЕТ"
RESERVED,"ЗАРЕЗЕРВИРОВАНО"
ADMINISTRATION,"АДМИНИСТРАЦИЯ"
STAFF ONLY,"ТОЛЬКО ДЛЯ ПЕРСОНАЛА"
BEWARE OF THE DOG!,"ЗЛАЯ СОБАКА!"
NO SMOKING,"НЕ КУРИТЬ"
DO NOT TOUCH!,"РУКАМИ НЕ ТРОГАТЬ!"
DANGEROUS,"ОПАСНО"
DANGER,"ОПАСНОСТЬ"
HIGH TENSION,"ВЫСОКОЕ НАПРЯЖЕНИЕ"
NO SWIMMING!,"КУПАТЬСЯ ЗАПРЕЩЕНО!"
OUT OF ORDER,"НЕ РАБОТАЕТ"
FLAMMABLE,"ОГНЕОПАСНО"
FORBIDDEN,"ЗАПРЕЩЕНО"
NO TRESPASSING!,"ПРОХОД ЗАПРЕЩЁН!"
WET PAINT,"ОКРАШЕНО"
