Argentina,"Аргентина"
Argentinian,"аргентинец, аргентинка, аргентинский"
Brazil,"Бразилия"
Brazilian,"бразилец, бразильянка, бразильский"
Colombia,"Колумбия"
Colombian,"колумбиец, колумбийка, колумбийский"
Cuba,"Куба"
Cuban,"кубинец, кубинка, кубинский"
Chile,"Чили"
Chilean,"чилиец, чилийка, чилийский"
Bolivia,"Боливия"
Venezuela,"Венесуэла"
Paraguay,"Парагвай"
Peru,"Перу"
Suriname,"Суринам"
Uruguay,"Уругвай"
Ecuador,"Эквадор"
The Bahamas,"Багамские острова"
Haiti,"Гаити"
Dominican Republic,"Доминиканская республика"
Panama,"Панама"
Jamaica,"Ямайка"
