Mars,"Марс"
Venus,"Венера"
Jupiter,"Юпитер"
Saturn,"Сатурн"
Mercury,"Меркурий"
Uranus,"Уран"
Neptune,"Нептун"
Pluto,"Плутон"
Milky Way,"Млечный Путь"
Great Bear,"Большая Медведица"
North Star,"Полярная Звезда"
Martian,"марсианин"
extraterrestrial,"инопланетянин"
alien,"пришелец"
flying saucer,"летающая тарелка"
spaceship,"космический корабль"
space station,"орбитальная станция"
blast-off,"старт ракеты"
engine,"двигатель"
nozzle,"сопло"
fuel,"топливо"
cockpit,"кабина"
aerial,"антенна"
porthole,"иллюминатор"
solar battery,"солнечная батарея"
spacesuit,"скафандр"
weightlessness,"невесомость"
oxygen,"кислород"
docking,"стыковка"
to dock,"производить стыковку"
observatory,"обсерватория"
telescope,"телескоп"
to observe,"наблюдать"
to explore,"исследовать"
