Olympic Games,"Олимпийские игры"
winner,"победитель"
to win,"выиграть"
leader,"лидер"
to lead,"лидировать"
first place,"первое место"
second place,"второе место"
third place,"третье место"
medal,"медаль"
trophy,"трофей"
prize cup,"кубок"
prize,"приз"
main prize,"главный приз"
record,"рекорд"
to set a record,"ставить рекорд"
final,"финал"
champion,"чемпион"
championship,"чемпионат"
stadium,"стадион"
stand,"трибуна (стадиона)"
fan,"болельщик"
opponent,"противник"
start,"старт"
finish line,"финиш"
referee,"судья"
judges,"жюри"
score,"счёт (спорт.)"
draw,"ничья"
to draw,"сыграть вничью"
point,"очко"
result,"результат"
period,"тайм, период"
half-time,"перерыв"
doping,"допинг"
to penalize,"штрафовать (спорт.)"
to disqualify,"дисквалифицировать"
apparatus,"снаряд (спорт.)"
javelin,"копьё (спорт.)"
shot put ball,"ядро (спорт.)"
ball,"шар (в бильярде и т.п.)"
aim,"прицел"
target,"мишень"
to shoot,"стрелять"
precise,"точный (попадание)"
to train,"тренировать, тренироваться"
training,"тренировка"
gym,"спортзал"
exercise,"упражнение"
warm-up,"разминка"
