fashion,"мода"
in vogue,"модный"
fashion designer,"модельер"
collar,"воротник"
pocket,"карман"
sleeve,"рукав"
hanging loop,"вешалка (петля)"
flies,"ширинка"
zip,"молния (застежка)"
button,"пуговица"
buttonhole,"петля (для пуговицы)"
to come off,"оторваться (о пуговице)"
to sew,"шить"
to embroider,"вышивать"
embroidery,"вышивка"
sewing needle,"игла (для шитья)"
thread,"нитка"
seam,"шов (швейный)"
to get dirty,"испачкаться"
stain,"пятно"
to crease,"помяться (об одежде)"
to tear,"порвать (испортить)"
clothes moth,"моль"
