pain,"боль"
splinter,"заноза"
sweat,"пот"
to sweat,"потеть"
vomiting,"рвота"
convulsions,"судороги"
pregnant,"беременная"
to be born,"родиться"
labour,"роды"
to labour,"рожать"
abortion,"аборт"
respiration,"дыхание"
inhalation,"вдох"
exhalation,"выдох"
to breathe out,"выдохнуть"
to breathe in,"сделать вдох"
disabled person,"инвалид"
cripple,"калека"
drug addict,"наркоман"
deaf,"глухой"
dumb,"немой"
deaf-and-dumb,"глухонемой"
insane,"сумасшедший (прил.)"
madman,"сумасшедший (сущ.)"
madwoman,"сумасшедшая (сущ.)"
to go insane,"сойти с ума"
gene,"ген"
immunity,"иммунитет"
hereditary,"наследственный"
congenital,"врождённый"
virus,"вирус"
microbe,"микроб"
bacterium,"бактерия"
infection,"инфекция"
