hospital,"больница"
patient,"пациент"
diagnosis,"диагноз"
cure,"излечение"
treatment,"лечение (больных)"
to get treatment,"лечиться"
to treat,"лечить (ухаживать)"
to nurse,"ухаживать (за больным)"
care,"уход (за больным)"
operation,"операция"
to bandage,"перевязать"
bandaging,"перевязка"
vaccination,"прививка"
to vaccinate,"делать прививку"
injection,"укол (мед.)"
to give an injection,"делать укол (кому-л.)"
attack,"приступ, припадок"
amputation,"ампутация"
to amputate,"ампутировать"
coma,"кома"
to be in a coma,"быть в коме"
intensive care,"реанимация"
to recover,"выздоравливать"
state,"состояние (больного)"
consciousness,"сознание (мед.)"
memory,"память"
to extract,"удалять (зуб)"
filling,"пломба (на зубах)"
to fill,"пломбировать (зубы)"
hypnosis,"гипноз"
to hypnotize,"гипнотизировать"
