description,"описание"
to describe,"описать (обрисовать)"
praise,""похвала
to praise,"хвалить"
disappointment,"разочарование"
to disappoint,"разочаровать"
to be disappointed,"разочароваться"
supposition,"предположение"
to suppose,"предполагать"
warning,"предостережение"
to warn,"предостеречь"
to talk into,"уговорить"
to calm down,"успокаивать"
silence,"молчание"
to keep silent,"молчать"
to whisper,"шепнуть"
whisper,"шёпот"
frankly,"откровенно"
in my opinion,"по моему мнению"
detail,"подробность"
detailed,"подробный"
in detail,"подробно"
hint,"подсказка (ключ к отгадке)"
to give a hint,"подсказать"
look,"взгляд (выражение лица)"
to have a look,"взглянуть"
fixed,"неподвижный (взгляд)"
to blink,"моргать"
to wink,"мигнуть"
to nod,"кивнуть (в знак согласия)"
sigh,"вздох"
to sigh,"вздохнуть"
to shudder,"вздрагивать"
gesture,"жест"
to touch,"прикоснуться"
to seize,"хватать (за руку и т.п.)"
to tap,"хлопать (по плечу и т.п.)"
Look out!,"Острожно!"
Really?,"Неужели?"
Good luck!,"Удачи!"
I see!,"Ясно! (понятно)"
It's a pity!,"Жаль!"
