telephone,"телефон"
mobile phone,"мобильный телефон"
answering machine,"автоответчик"
to ring,"звонить (по телефону)"
call,"звонок (по телефону)"
to dial a number,"набрать номер"
Hello!,"Алло!"
to ask,"спросить"
to answer,"ответить"
to hear,"слышать"
well,"хорошо"
not well,"плохо"
noises,"помехи"
receiver,"трубка (телефонная)"
to pick up the phone,"снять трубку"
to hang up,"положить трубку"
engaged,"занятый (о линии)"
telephone book,"телефонная книга"
local,"местный (звонок)"
trunk,"междугородний (звонок)"
international,"международный (звонок)"
