theatre,"театр"
opera,"опера"
operetta,"оперетта"
ballet,"балет"
playbill,"афиша (театральная)"
company,"труппа"
tour,"гастроли"
to be on tour,"гастролировать"
to rehearse,"репетировать"
rehearsal,"репетиция"
repertoire,"репертуар"
performance,"представление"
show,"спектакль"
play,"пьеса"
ticket,"билет"
Box office,"билетная касса"
lobby,"холл (в театре)"
coat check,"гардероб"
cloakroom ticket,"номерок (для одежды)"
binoculars,"бинокль"
usher,"контролёр"
stalls,"партер"
balcony,"балкон"
dress circle,"бельэтаж"
box,"ложа"
row,"ряд"
seat,"место"
audience,"публика"
spectator,"зритель"
to clap,"хлопать (артистам)"
applause,"аплодисменты"
ovation,"овации"
stage,"сцена"
curtain,"занавес"
scenery,"декорация"
backstage,"кулисы"
scene,"сцена (действие)"
act,"акт"
interval,"антракт"
