tool,"инструмент"
equipment,"оборудование"
hammer,"молоток"
screwdriver,"отвёртка"
axe,"топор"
saw,"пила"
to saw,"пилить"
plane,"рубанок"
to plane,"строгать"
soldering iron,"паяльник"
to solder,"паять"
file,"напильник"
carpenter pincers,"клещи (инструм.)"
combination pliers,"плоскогубцы"
chisel,"стамеска"
drill bit,"сверло"
electric drill,"дрель"
to drill,"сверлить"
knife,"нож"
pocket knife,"карманный нож"
folding knife,"складной нож"
blade,"лезвие (ножа)"
sharp,"острый (нож и т.п.)"
blunt,"тупой (нож)"
to become blunt,"затупиться"
to sharpen,"точить"
bolt,"болт"
nut,"гайка"
thread,"резьба (на винте)"
wood screw,"шуруп"
nail,"гвоздь"
nail head,"шляпка гвоздя"
ruler,"линейка"
tape measure,"рулетка"
spirit level,"уровень (инстр.)"
magnifying glass,"лупа"
measuring instrument,"измерительный прибор"
to measure,"измерять"
