scale,"шкала"
readings,"показания (прибора)"
compressor,"компрессор"
microscope,"микроскоп"
pump,"насос"
robot,"робот"
laser,"лазер"
spanner,"гаечный ключ"
adhesive tape,"лента-скотч"
glue,"клей"
emery paper,"наждачная бумага"
spring,"пружина"
magnet,"магнит"
gloves,"перчатки"
rope,"верёвка"
cord,"шнур"
wire,"провод"
cable,"кабель"
sledgehammer,"кувалда"
crowbar,"лом"
ladder,"лестница (переносная)"
stepladder,"стремянка"
to screw,"закручивать"
to unscrew,"откручивать"
to tighten,"зажимать"
to glue,"приклеивать"
to cut,"резать"
malfunction,"неисправность"
repair,"починка"
to repair,"ремонтировать"
to adjust,"регулировать (прибор)"
to check,"проверять"
checking,"проверка"
readings,"показания (счётчика)"
reliable,"надёжный (механизм)"
complicated,"сложный"
to rust,"ржаветь"
rusty,"ржавый"
rust,"ржавчина"
