tourism,"туризм"
tourist,"турист"
trip,"поездка"
adventure,"приключение"
journey,"путешествие"
holiday,"отпуск"
to be on holidays,"быть в отпуске"
rest,"отдых"
train,"поезд"
by train,"на поезде"
aircraft,"самолёт"
by aircraft,"на самолёте"
by car,"на автомобиле"
by ship,"на корабле"
luggage,"багаж"
suitcase,"чемодан"
luggage trolley,"тележка для багажа"
passport,"паспорт"
visa,"виза"
ticket,"билет"
air ticket,"авиабилет"
guidebook,"путеводитель"
map,"карта (географ.)"
area,"местность"
place,"место"
exotica,"экзотика"
exotic,"экзотический"
amazing,"удивительный"
group,"группа"
excursion,"экскурсия"
guide,"гид, экскурсовод"
