tree,"дерево"
deciduous,"лиственное"
coniferous,"хвойное"
evergreen,"вечнозеленое"
apple tree,"яблоня"
pear tree,"груша (дерево)"
sweet cherry tree,"черешня (дерево)"
sour cherry tree,"вишня (дерево)"
plum tree,"слива (дерево)"
birch,"берёза"
oak,"дуб"
linden tree,"липа"
aspen,"осина"
maple,"клён"
spruce,"ель"
pine,"сосна"
larch,"лиственница"
fir,"пихта"
cedar,"кедр"
poplar,"тополь"
rowan,"рябина"
willow,"ива"
alder,"ольха"
beech,"бук"
elm,"вяз"
ash,"ясень"
chestnut,"каштан"
magnolia,"магнолия"
palm tree,"пальма"
cypress,"кипарис"
mangrove,"мангровое дерево"
baobab,"баобаб"
eucalyptus,"эвкалипт"
sequoia,"секвойя"
