vegetables,"овощи"
greens,"зелень"
tomato,"помидор"
cucumber,"огурец"
carrot,"морковь"
potato,"картофель"
onion,"лук (луковицы)"
garlic,"чеснок"
cabbage,"капуста"
cauliflower,"цветная капуста"
Brussels sprouts,"брюссельская капуста"
broccoli,"капуста брокколи"
beetroot,"свёкла"
aubergine,"баклажан"
marrow,"кабачок"
pumpkin,"тыква"
turnip,"репа"
parsley,"петрушка"
dill,"укроп"
celery,"сельдерей"
asparagus,"спаржа"
spinach,"шпинат"
pea,"горох"
beans,"бобы"
maize,"кукуруза"
kidney bean,"фасоль"
bell pepper,"перец"
radish,"редис"
artichoke,"артишок"
