to go for a swim,"купаться"
to fly,"лететь"
to catch,"ловить"
to break,"ломать"
to love,"любить"
to pray,"молиться"
to keep silent,"молчать"
can,"мочь"
to observe,"наблюдать"
to hope,"надеяться"
to punish,"наказывать"
to insist,"настаивать (упорствовать)"
to find,"находить"
to begin,"начинать"
to underestimate,"недооценивать"
to fancy,"воображать"
to have lunch,"обедать"
to promise,"обещать"
to deceive,"обманывать"
to discuss,"обсуждать"
to unite,"объединять"
to explain,"объяснять"
to mean,"означать"
to liberate,"освобождать (город)"
to insult,"оскорблять"
to stop,"останавливаться"
to answer,"отвечать"
to guess right,"отгадать"
to refuse,"отказываться"
to open,"открывать"
to send,"отправлять"
to hunt,"охотиться"
to make a mistake,"ошибаться"
to fall,"падать"
to translate,"переводить (текст)"
to write,"писать"
to swim,"плавать"
to cry,"плакать"
to plan,"планировать"
