to pay,"платить"
to turn,"поворачивать"
to repeat,"повторять"
to sign,"подписывать"
to give a hint,"подсказать (отгадку)"
to show,"показывать"
to help,"помогать"
to understand,"понимать"
to expect,"предвидеть (ожидать)"
to propose,"предлагать"
to prefer,"предпочитать"
to warn,"предупреждать"
to stop,"прекращать"
to invite,"приглашать"
to arrive,"приезжать"
to order,"приказывать"
to belong to,"принадлежать"
to try,"пробовать (пытаться)"
to sell,"продавать"
to continue,"продолжать"
to pronounce,"произносить (слово)"
to miss,"скучать, пропускать (занятие и т.п.)"
to ask,"просить, спрашивать"
to forgive,"прощать"
to hide,"прятать"
to confuse,"смущать"
to mix up,"путать"
to work,"работать"
to permit,"разрешать"
to count on,"рассчитывать на"
to reserve,"резервировать (удерживать за собой)"
to book,"бронировать (оплачено)"
to recommend,"рекомендовать"
to drop,"ронять"
to scold,"ругать"
to manage,"руководить (чем-либо)"
to dig,"рыть"
to sit down,"садиться"
to say,"сказать"
