to follow,"следовать за"
to hear,"слышать"
to laugh,"смеяться"
to rent,"снимать (напр. квартиру)"
to advise,"советовать"
to agree,"соглашаться"
to regret,"сожалеть"
to create,"создать"
to doubt,"сомневаться"
to keep,"хранить, держать"
to save,"сохранять, экономить"
to rescue,"спасать, выручать"
to come down,"спускаться"
to compare,"сравнивать"
to cost,"стоить"
to shoot,"стрелять"
to exist,"существовать"
to count,"считать (подсчитывать)"
to hurry,"торопиться"
to demand,"требовать"
to be needed,"требоваться"
to touch,"трогать"
to kill,"убивать"
to threaten,"угрожать"
to be surprised,"удивляться"
to have dinner,"ужинать"
to decorate,"украшать"
to smile,"улыбаться"
to mention,"упоминать"
to participate,"участвовать"
to boast,"хвастаться"
to want,"хотеть"
to be hungry,"хотеть есть"
to be thirsty,"хотеть пить"
to read,"читать"
to joke,"шутить"
