fighter,"истребитель"
helicopter,"вертолёт"
anti-aircraft gun,"зенитка"
tank,"танк"
tank gun,"пушка (на танке)"
artillery,"артиллерия"
cannon,"пушка, орудие"
shell,"снаряд"
mortar bomb,"миномётная мина"
mortar,"миномёт"
splinter,"осколок"
submarine,"подводная лодка"
torpedo,"торпеда"
missile,"ракета"
to load,"заряжать (оружие)"
to shoot,"стрелять"
to take aim at,"целиться в"
bayonet,"штык"
epee,"шпага"
saber,"сабля"
spear,"копьё"
bow,"лук (орудие)"
arrow,"стрела"
musket,"мушкет"
crossbow,"арбалет"
