Europe,"Европа"
European Union,"Европейский Союз"
European,"европеец, европейский"
Austria,"Австрия"
Austrian,"австриец, австрийка, австрийский"
Great Britain,"Великобритания"
England,"Англий"
British,"англичанин, англичанка"
English,"английский"
Belgium,"Бельгия"
Belgian,"бельгиец, бельгийка, бельгийский"
Germany,"Германия"
German,"немец, немка, немецкий"
Netherlands,"Нидерланды"
Holland,"Голландия"
Dutchman,"голландец"
Dutchwoman,"голландка"
Dutch,"голландский"
Greece,"Греция"
Greek,"грек, гречанка, греческий"
Denmark,"Дания"
Dane,"датчанин, датчанка"
Danish,"датский"
Ireland,"Ирландия"
Irishman,"ирландец"
Irishwoman,"ирландка"
Irish,"ирландский"
Iceland,"Исландия"
Icelander,"исландец, исландка"
Icelandic,"исландский"
