Spain,"Испания"
Spaniard,"испанец, испанка"
Spanish,"испанский"
Italy,"Италия"
Italian,"итальянец, итальянка, итальянский"
Cyprus,"Кипр"
Cypriot,"киприот, киприотка, кипрский"
Malta,"Мальта"
Maltese,"мальтиец, мальтийка, мальтийский"
Norway,"Норвегия"
Norwegian,"норвежец, норвежка, норвежский"
Portugal,"Португалия"
Portuguese,"португалец, португалка, португальский"
Finland,"Финляндия"
Finn,"финн, финка"
Finnish,"финский"
France,"Франция"
Frenchman,"француз"
Frenchwoman,"француженка"
French,"французский"
Sweden,"Швеция"
Swede,"швед, шведка"
Swedish,"шведский"
Switzerland,"Швейцария"
Swiss,"швейцарец, швейцарка, швейцарский"
Scotland,"Шотландия"
Scottish,"шотландец, шотландка, шотландский"
Vatican,"Ватикан"
Liechtenstein,"Лихтенштейн"
Luxembourg,"Люксембург"
Monaco,"Монако"
