antelope,"антилопа"
roe deer,"косуля"
fallow deer,"лань"
chamois,"серна"
wild boar,"кабан"
whale,"кит"
seal,"тюлень"
walrus,"морж"
fur seal,"морской котик"
dolphin,"дельфин"
bear,"медведь"
polar bear,"белый медведь"
panda,"панда"
monkey,"обезьяна"
chimpanzee,"шимпанзе"
orangutan,"орангутанг"
gorilla,"горилла"
macaque,"макака"
gibbon,"гиббон"
elephant,"слон"
rhinoceros,"носорог"
giraffe,"жираф"
hippopotamus,"бегемот"
kangaroo,"кенгура"
koala,"коала"
mongoose,"мангуст"
chinchilla,"шиншилла"
skunk,"скунс"
porcupine,"дикобраз"
